"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","15n","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"C2,C4,C7,C13,C19,C22,C23,C24","8","10u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C3,C8,C10,C11,C12,C14,C15,C18,C21","9","100n","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C5,C6,C9","3","680u","","","","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","~"
"C20","1","100u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"D1,D2","2","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"H1,H2,H3,H4","4","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_4.3mm_M4_ISO7380_Pad","~"
"Jin1,Jout1,Jvcc1,Jvss1","4","Conn_01x01_Pin","","","","Connector_Wire:SolderWirePad_1x01_SMD_4x8mm","~"
"Q1","1","BC337","","","","Package_TO_SOT_THT:TO-92_Inline","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs"
"Q2","1","BC317","","","","Package_TO_SOT_THT:TO-92_Inline","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs"
"R1,R2","2","300","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3,R4,R8,R10,R11","5","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R5,R9,R12,R13","4","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R6","1","330","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R7","1","3k3","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"SW_DOWN1,SW_OK1,SW_PRESET_0,SW_PRESET_1,SW_PRESET_2,SW_PRESET_3,SW_UP1","7","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm_H13mm","~"
"U1","1","CS4335","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://statics.cirrus.com/pubs/proDatasheet/CS4334-5-8-9_F7.pdf"
"U2","1","WeAct STM32F411CEU6 v3.0","","","","Package_DIP:DIP-40_W15.24mm_Socket",""
"U3","1","NE5532","","","","Package_DIP:DIP-8_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/ne5532.pdf"
"U4","1","TL074","","","","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U5","1","LM358","","","","Package_DIP:DIP-8_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
"U6","1","LM317_TO-220","","","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.ti.com/lit/ds/symlink/lm317.pdf"
"U7","1","UC1609C LCD Board","","","","ljepi:PinSocket1x9_66mm_x_26mm",""
